N0582,N0816,N1594,N1882,N2550,N3375
0.164,0.222,0.383,0.247,0.282,0.061
0.164,0.119,0.382,0.315,0.234,0.06
0.164,0.153,1.126,0.185,0.241,0.053
0.165,0.172,1.288,0.187,0.186,0.054
0.174,0.169,1.522,0.223,0.234,0.053
0.271,0.149,0.881,0.146,0.191,0.081
0.301,0.134,1.235,0.184,0.264,0.39
0.447,0.099,2.398,0.199,0.254,0.37
0.33,0.38,2.528,0.169,0.286,0.387
0.305,0.233,0.583,0.305,0.49,0.377
0.311,0.235,0.577,0.572,0.359,0.845
0.198,0.343,0.522,0.284,0.477,1.295
0.272,0.263,0.393,0.148,0.342,1.195
0.463,0.265,0.451,0.109,0.5,1.168
0.222,0.417,0.362,0.07,0.351,0.597
0.188,0.26,0.408,0.071,0.416,0.513
0.201,0.433,0.426,0.072,0.581,0.73
0.308,0.255,0.404,0.072,0.478,0.504
0.19,0.326,0.422,0.084,0.438,0.506
0.142,0.228,0.159,0.152,0.27,0.392
0.087,0.224,0.14,0.107,0.253,0.248
0.082,0.228,0.178,0.338,0.258,0.326
0.081,0.229,0.147,0.089,0.254,0.327
0.082,0.214,0.164,0.071,0.238,0.324
0.112,0.231,0.158,0.071,0.234,0.164
0.109,0.148,0.144,0.073,0.234,0.068
0.081,0.109,0.172,0.168,0.148,0.072
0.075,0.109,0.149,0.118,0.14,0.07
0.078,0.108,0.44,0.072,0.139,0.067
0.09,0.107,0.204,0.074,0.142,0.073
0.11,0.107,0.146,0.07,0.133,0.069
0.187,0.093,0.168,0.071,0.132,0.064
0.08,0.044,0.149,0.073,0.128,0.071
0.08,0.051,0.274,0.138,0.126,0.067
0.084,0.084,0.334,0.144,0.124,0.063
0.103,0.082,0.378,0.072,0.158,0.063
0.197,0.08,0.51,0.072,0.155,0.156
0.261,0.08,0.349,0.07,0.192,0.306
0.195,0.087,0.373,0.071,0.164,0.343
0.145,0.075,0.385,0.068,0.15,0.364
0.168,0.067,0.6,0.099,0.161,0.164
0.182,0.112,0.316,0.287,0.345,0.172
0.312,0.883,0.271,0.857,0.151,0.31
0.198,0.492,0.454,0.479,0.148,0.144
0.4,0.249,0.345,0.146,0.147,0.27
0.256,0.165,0.85,0.136,0.148,0.588
0.257,0.131,1.251,0.153,0.188,0.369
0.427,0.364,0.528,0.162,0.371,0.143
0.268,0.2,0.339,0.251,0.243,0.111
0.259,0.199,0.449,0.227,0.381,0.182
0.398,1.068,0.46,0.479,0.288,0.838
0.242,0.416,1.634,0.605,0.297,0.51
0.239,0.374,1.557,0.591,0.232,0.124
0.24,0.811,0.587,0.671,0.208,0.089
0.326,0.776,0.406,0.697,0.263,0.114
0.253,0.278,1.094,0.726,0.374,0.138
0.651,0.547,1.73,0.586,0.486,0.158
0.29,0.822,1.357,0.575,0.495,0.168
0.259,0.26,0.809,0.303,0.456,0.141
0.282,0.245,0.582,0.084,0.545,0.159
0.245,0.631,1.071,0.156,0.554,0.377
0.19,0.91,0.37,0.099,0.527,0.43
0.2,1.166,0.351,0.068,0.501,0.451
0.183,0.328,0.351,0.069,0.459,0.452
0.156,0.322,0.358,0.07,0.545,0.537
0.156,0.309,0.372,0.084,0.518,0.411
0.162,0.414,0.494,0.16,0.468,0.366
0.21,0.298,0.34,0.101,0.43,0.374
0.294,0.285,0.239,0.22,0.432,0.431
0.186,0.267,0.154,0.141,0.517,0.423
0.214,0.269,0.158,0.071,0.48,0.442
0.202,0.265,0.166,0.08,0.351,0.263
0.202,0.264,0.155,0.231,0.351,0.126
0.201,0.111,0.159,0.125,0.35,0.111
0.167,0.084,0.151,0.074,0.349,0.071
0.115,0.04,0.148,0.078,0.349,0.056
0.124,0.052,0.176,0.079,0.351,0.076
0.114,0.084,0.138,0.077,0.344,0.077
0.113,0.082,0.15,0.139,0.421,0.056
0.235,0.081,0.167,0.132,0.389,0.054
0.077,0.094,0.144,0.07,0.407,0.07
0.051,0.096,0.181,0.072,0.35,0.071
0.12,0.108,0.188,0.07,0.352,0.063
0.375,0.105,0.211,0.075,0.481,0.254
0.201,0.067,0.487,0.099,0.512,0.176
0.275,0.072,0.895,0.155,0.463,0.319
0.145,0.086,0.497,0.233,0.35,0.301
0.112,0.082,0.445,0.15,0.246,0.313
0.091,0.08,0.507,0.067,0.236,0.282
0.064,0.079,0.627,0.065,0.277,0.217
0.055,0.081,0.512,0.068,0.51,0.376
0.052,0.082,0.317,0.137,0.209,0.39
0.239,0.066,0.365,0.128,0.945,0.455
0.184,0.068,0.319,0.071,0.952,0.382
0.158,0.111,0.327,0.066,0.53,0.486
0.116,0.271,0.307,0.067,0.183,0.207
0.176,0.242,0.366,0.066,0.237,0.275
0.116,1.321,0.428,0.082,0.175,0.183
0.145,0.962,0.384,0.146,0.222,0.16
0.149,1.008,0.59,0.549,0.239,0.232
0.2,0.998,0.592,0.701,0.247,0.277
0.22,0.449,0.561,0.575,0.74,0.3
0.122,0.175,1.163,0.548,0.931,0.312
0.046,0.316,1.676,0.528,0.523,0.328
0.069,0.326,0.672,0.675,0.531,0.287
0.036,0.502,0.415,0.689,0.398,0.316
0.036,1.007,0.448,0.602,0.4,0.309
0.088,1.043,0.389,0.718,0.458,1.286
0.253,1.096,0.376,0.605,0.805,0.716
0.291,0.558,0.404,0.609,0.965,0.508
0.197,0.281,0.522,0.625,0.851,0.466
0.301,0.44,0.411,0.771,0.431,0.54
0.656,0.296,0.364,0.537,0.51,0.412
0.24,0.301,0.357,0.259,0.452,0.416
0.201,0.427,0.366,0.216,0.444,0.321
0.21,0.334,0.327,0.104,0.516,0.252
0.142,0.337,0.238,0.072,0.246,0.193
0.15,0.426,0.15,0.155,0.3,0.055
0.19,0.259,0.165,0.115,0.288,0.079
0.202,0.116,0.171,0.074,0.237,0.063
0.186,0.11,0.146,0.07,0.238,0.103
0.117,0.074,0.17,0.075,0.24,0.104
0.064,0.067,0.153,0.074,0.24,0.147
0.067,0.08,0.176,0.117,0.242,0.105
0.066,0.184,0.15,0.159,0.286,0.086
0.067,0.081,0.163,0.076,0.376,0.068
0.099,0.079,0.18,0.072,0.247,0.055
0.098,0.079,0.142,0.07,0.242,0.084
0.098,0.08,0.171,0.07,0.223,0.044
0.063,0.092,0.171,0.07,0.127,0.074
0.289,0.072,0.182,0.147,0.128,0.068
0.161,0.225,0.275,0.118,0.163,0.238
0.383,0.173,0.402,0.068,0.141,0.166
0.24,0.081,0.719,0.137,0.281,0.211
0.113,0.08,0.57,0.098,0.249,0.544
0.07,0.039,0.348,0.068,0.25,0.392
0.069,0.044,0.812,0.236,0.254,0.317
0.068,0.083,0.671,0.219,0.254,0.303
0.068,0.097,0.472,0.146,0.221,0.499
0.041,0.105,0.34,0.109,0.281,0.453
0.035,0.107,0.366,0.167,0.163,0.263
0.035,0.106,0.619,0.071,0.165,0.233
0.031,0.078,0.317,0.068,0.178,0.225
0.064,0.038,0.32,0.131,0.181,0.361
0.059,0.046,0.319,0.273,0.187,0.231
0.029,0.08,0.347,0.36,0.178,0.339
0.032,0.081,0.481,0.329,0.168,0.28
0.036,0.086,0.499,0.069,0.175,0.302
0.045,0.109,0.697,0.068,0.176,0.287
0.066,0.106,0.667,0.274,0.288,0.21
0.031,0.263,0.857,0.496,0.307,0.31
0.03,0.203,1.396,0.177,0.492,0.643
0.035,0.245,0.927,0.155,0.405,0.498
0.043,0.396,1.042,0.153,0.457,0.357
0.071,0.234,0.873,0.154,0.391,0.436
0.103,0.377,0.676,0.349,0.41,0.488
0.238,0.478,0.489,0.619,0.319,0.622
0.117,0.257,0.418,0.607,1.255,0.532
0.339,0.304,0.437,0.694,0.927,0.418
0.22,0.288,0.419,0.622,0.496,0.468
0.169,0.265,0.364,0.467,0.526,0.439
0.168,0.414,0.437,0.282,0.499,0.358
0.326,0.323,0.385,0.319,0.509,0.413
0.178,0.357,0.34,0.141,0.279,0.37
0.17,0.31,0.235,0.074,0.247,0.409
0.182,0.265,0.144,0.069,0.245,0.189
0.077,0.145,0.167,0.073,0.281,0.091
0.071,0.131,0.163,0.129,0.403,0.054
0.061,0.117,0.16,0.229,0.273,0.073
0.037,0.123,0.175,0.078,0.274,0.069
0.028,0.116,0.155,0.076,0.19,0.058
0.033,0.116,0.171,0.077,0.196,0.083
0.036,0.117,0.159,0.07,0.178,0.101
0.051,0.118,0.152,0.093,0.134,0.149
0.057,0.08,0.176,0.154,0.133,0.103
0.029,0.081,0.138,0.095,0.129,0.086
0.032,0.116,0.175,0.068,0.129,0.067
0.032,0.115,0.162,0.071,0.129,0.054
0.452,0.115,0.173,0.072,0.128,0.112
0.366,0.129,0.209,0.073,0.159,0.307
0.165,0.343,0.19,0.129,0.145,0.253
0.185,0.072,0.415,0.218,0.313,0.353
0.266,0.056,0.435,0.444,0.246,0.435
0.13,0.085,0.417,0.19,0.244,0.335
0.116,0.081,0.405,0.162,0.193,0.368
0.1,0.079,0.552,0.087,0.173,0.294
0.09,0.077,0.361,0.064,0.26,0.292
0.064,0.04,0.377,0.067,0.172,0.215
0.055,0.065,0.287,0.064,0.175,0.215
0.094,0.113,0.239,0.066,0.221,0.196
0.098,0.107,0.233,0.109,0.585,0.393
0.081,0.108,0.249,0.183,0.898,0.197
0.06,0.082,0.354,0.131,0.205,0.221
0.064,0.081,0.302,0.072,1.077,0.185
0.064,0.076,0.46,0.483,1.15,0.271
