N0582,N0816,N1594,N1882,N2550,N3375
0.13,0.095,0.155,0.07,0.346,0.06
0.064,0.091,0.165,0.074,0.352,0.069
0.055,0.084,0.149,0.079,0.358,0.077
0.069,0.113,0.162,0.079,0.355,0.048
0.221,0.117,0.153,0.161,0.358,0.091
0.078,0.117,0.142,0.113,0.348,0.036
0.06,0.117,0.164,0.072,0.349,0.089
0.058,0.117,0.156,0.07,0.348,0.046
0.067,0.123,0.162,0.071,0.207,0.076
0.09,0.123,0.141,0.07,0.128,0.058
0.079,0.112,0.167,0.083,0.134,0.313
0.218,0.075,0.201,0.155,0.131,0.384
0.336,0.089,0.217,0.108,0.163,0.352
0.197,0.347,0.436,0.072,0.146,0.201
0.296,0.094,0.426,0.069,0.218,0.189
0.173,0.065,0.386,0.314,0.244,0.352
0.115,0.04,0.935,0.197,0.247,1.043
0.089,0.061,0.397,0.074,0.248,0.369
0.085,0.082,0.488,0.146,0.308,0.351
0.064,0.077,0.479,0.11,0.175,0.36
0.084,0.038,0.288,0.064,0.175,0.361
0.087,0.054,0.317,0.065,0.174,0.277
0.072,0.114,0.368,0.068,0.17,0.446
0.059,0.109,0.307,0.068,0.173,0.269
0.062,0.061,0.322,0.067,0.174,0.347
0.161,0.039,0.342,0.127,0.193,0.261
0.215,0.071,0.463,0.14,0.222,0.237
0.219,0.082,0.306,0.063,0.203,0.189
0.166,0.081,0.498,0.064,0.249,0.328
0.137,0.04,0.627,0.064,0.99,0.218
0.14,0.064,0.496,0.066,0.433,0.212
0.154,0.42,0.375,0.063,0.431,0.347
0.148,0.291,0.698,0.087,0.44,0.457
0.129,0.273,0.788,0.465,0.444,0.509
0.146,0.263,1.069,1.468,0.488,0.523
0.183,0.377,0.397,0.797,0.477,0.629
0.193,0.211,0.378,0.785,0.472,0.577
0.35,0.219,0.35,0.771,0.521,0.575
0.225,0.619,0.402,0.655,0.486,0.535
0.286,0.512,0.362,0.674,0.541,0.503
0.283,0.285,0.367,0.687,0.567,0.579
0.221,0.264,0.47,0.593,0.748,0.598
0.213,0.279,0.351,0.65,0.617,0.403
0.215,0.417,0.366,0.48,0.509,0.333
0.345,0.325,0.342,0.083,0.466,0.342
0.255,0.32,0.261,0.131,0.424,0.377
0.203,0.316,0.15,0.143,0.343,0.339
0.185,0.268,0.157,0.071,0.349,0.291
0.205,0.359,0.145,0.073,0.433,0.043
0.251,0.232,0.168,0.07,0.352,0.09
0.242,0.226,0.148,0.074,0.351,0.051
0.227,0.22,0.145,0.073,0.35,0.076
0.151,0.093,0.15,0.105,0.354,0.063
0.141,0.108,0.156,0.153,0.352,0.06
0.138,0.069,0.143,0.138,0.35,0.078
0.154,0.07,0.147,0.074,0.348,0.042
0.142,0.11,0.15,0.069,0.352,0.088
0.114,0.082,0.135,0.072,0.349,0.045
0.115,0.082,0.17,0.07,0.342,0.1
0.113,0.079,0.193,0.07,0.336,0.111
0.422,0.04,0.171,0.092,0.349,0.131
0.246,0.047,0.176,0.148,0.219,0.11
0.297,0.109,0.341,0.114,0.229,0.068
0.385,0.122,0.484,0.366,0.228,0.134
0.277,0.118,0.295,0.141,0.193,0.867
0.233,0.122,0.381,0.122,0.173,0.196
0.207,0.121,0.382,0.131,0.245,0.391
0.306,0.062,0.305,0.096,0.265,0.385
0.21,0.051,0.438,0.07,0.434,0.401
0.225,0.237,0.459,0.147,0.266,0.245
0.231,0.182,0.368,0.127,1.0,0.266
0.203,0.277,0.828,0.067,0.995,0.854
0.203,0.181,0.292,0.064,0.651,0.586
0.212,0.089,0.304,0.27,0.26,0.413
0.169,0.086,0.4,0.066,0.4,0.344
0.17,0.092,0.327,0.177,0.239,0.298
0.175,0.082,0.312,0.404,0.221,0.359
0.197,0.058,0.295,0.693,0.465,0.284
0.309,0.059,0.356,0.601,0.519,0.627
0.212,0.068,0.34,0.137,0.301,0.318
0.197,0.082,0.932,0.169,0.255,0.369
0.192,0.09,1.455,0.208,0.269,0.395
0.227,0.068,0.626,0.549,0.253,0.42
0.312,0.07,0.356,0.459,0.227,0.55
0.304,0.083,0.369,0.134,0.304,0.483
0.258,0.426,0.359,0.133,0.3,0.539
0.249,0.206,0.351,0.067,0.278,0.712
0.248,0.341,0.381,0.068,0.23,0.489
0.258,0.401,0.378,0.068,0.596,0.896
0.231,0.286,0.43,0.068,0.58,0.51
0.237,0.295,0.372,0.068,0.658,0.385
0.217,0.449,0.365,0.068,0.564,0.34
0.247,0.287,0.317,0.151,0.432,0.38
0.266,0.274,0.23,0.132,0.446,0.413
0.243,0.262,0.142,0.276,0.437,0.359
0.233,0.163,0.135,0.124,0.439,0.357
0.233,0.091,0.158,0.107,0.442,0.353
0.241,0.113,0.136,0.084,0.44,0.27
0.209,0.084,0.143,0.072,0.492,0.07
0.161,0.083,0.173,0.072,0.292,0.078
0.225,0.082,0.135,0.143,0.129,0.067
0.233,0.081,0.166,0.145,0.136,0.063
0.297,0.069,0.176,0.071,0.144,0.055
0.289,0.039,0.172,0.072,0.133,0.065
0.284,0.071,0.148,0.072,0.133,0.073
0.261,0.11,0.148,0.069,0.133,0.069
0.351,0.109,0.155,0.07,0.129,0.072
0.332,0.108,0.175,0.069,0.127,0.055
0.279,0.069,0.198,0.085,0.159,0.055
0.283,0.057,0.206,0.148,0.161,0.071
0.254,0.094,0.379,0.115,0.235,0.07
0.197,0.091,0.3,0.068,0.231,0.131
0.227,0.083,0.195,0.068,0.2,0.485
0.396,0.253,0.34,0.068,0.282,0.478
0.184,0.07,1.032,0.316,0.175,0.291
0.249,0.068,0.675,0.259,0.172,1.052
0.142,0.246,0.762,0.176,0.179,0.428
0.497,0.084,0.284,0.136,0.178,0.449
0.275,0.919,0.299,0.217,0.177,0.46
0.28,0.1,0.45,0.115,0.173,0.234
0.285,0.09,0.423,0.417,0.173,0.443
0.224,0.136,0.316,0.613,0.191,0.328
0.243,0.159,0.587,0.706,0.172,0.369
0.334,0.192,0.99,0.641,0.176,0.372
0.186,0.891,0.897,0.624,0.174,0.919
0.304,1.052,0.702,0.665,0.18,0.44
0.236,0.988,0.774,0.566,0.178,0.282
0.445,1.05,0.979,0.615,0.177,0.354
0.429,0.782,1.844,0.674,0.218,0.43
0.291,0.353,2.344,0.728,0.222,0.469
0.265,0.356,0.43,0.545,0.241,0.87
0.25,0.99,0.353,0.286,0.474,1.338
0.359,0.989,0.39,0.063,0.353,1.283
0.352,0.93,0.353,0.065,0.347,0.418
0.234,0.744,0.35,0.087,0.797,0.468
0.278,0.288,0.367,0.148,0.663,0.493
0.235,0.29,0.36,0.103,0.627,0.615
0.264,0.284,0.345,0.071,0.634,0.497
0.42,0.271,0.365,0.071,1.25,0.471
0.281,0.365,0.36,0.07,0.684,0.447
0.236,0.268,0.327,0.068,0.601,0.138
0.229,0.158,0.277,0.092,0.44,0.064
0.253,0.088,0.147,0.338,0.414,0.072
0.26,0.135,0.146,0.155,0.368,0.057
0.244,0.121,0.155,0.071,0.151,0.059
0.152,0.099,0.15,0.072,0.122,0.061
0.116,0.099,0.143,0.074,0.139,0.062
0.123,0.1,0.145,0.076,0.138,0.064
0.134,0.079,0.147,0.074,0.126,0.068
0.153,0.062,0.14,0.073,0.126,0.062
0.123,0.091,0.147,0.145,0.213,0.058
0.115,0.105,0.149,0.148,0.136,0.054
0.121,0.113,0.133,0.072,0.186,0.049
0.123,0.128,0.143,0.094,0.285,0.062
0.33,0.176,0.167,0.131,0.14,0.062
0.214,0.321,0.172,0.077,0.145,0.061
0.397,0.231,0.178,0.072,0.15,0.296
0.258,0.216,0.18,0.069,0.139,0.22
0.335,0.193,0.601,0.079,0.243,0.175
0.2,0.207,0.595,0.462,0.239,0.501
0.174,0.264,0.38,0.183,0.316,0.843
0.137,0.228,0.511,0.067,0.21,0.403
0.185,0.212,0.432,0.067,0.194,0.301
0.156,0.078,0.374,0.067,0.196,0.269
0.188,0.093,0.442,0.066,0.187,0.983
0.334,0.131,0.306,0.066,0.177,0.439
0.258,0.127,0.209,0.066,0.204,0.38
0.246,0.121,0.299,0.145,0.386,0.426
0.286,0.089,0.254,0.123,0.729,0.416
0.258,0.061,0.36,0.065,0.674,0.412
0.228,0.075,0.285,0.064,0.219,0.279
0.154,0.102,0.294,0.105,0.309,0.265
0.163,0.105,0.323,0.504,0.247,0.382
0.165,0.107,0.247,0.63,0.203,0.191
0.191,0.095,0.317,0.701,0.205,0.189
0.153,0.088,0.447,0.687,0.275,0.447
0.151,0.332,0.466,0.612,0.332,0.557
0.136,0.127,0.583,0.648,0.274,0.394
0.155,0.285,0.64,0.579,0.259,0.394
0.164,0.215,0.321,0.583,0.355,0.506
0.133,0.177,0.373,0.589,0.953,0.464
0.323,0.579,0.331,0.581,0.557,0.486
0.209,0.375,0.33,0.697,0.357,0.557
0.378,0.32,0.403,0.733,0.306,0.506
0.331,0.269,0.324,0.728,0.303,0.579
0.258,0.266,0.403,0.734,0.297,0.363
0.25,0.257,0.318,0.653,0.344,0.304
0.292,0.274,0.339,0.217,0.578,0.256
0.267,0.358,0.274,0.079,0.483,0.124
0.303,0.223,0.831,0.071,0.338,0.07
0.277,0.117,0.503,0.073,0.309,0.067
0.235,0.108,0.535,0.12,0.298,0.083
0.179,0.102,0.14,0.15,0.383,0.078
0.176,0.093,0.163,0.094,0.355,0.082
0.156,0.056,0.144,0.072,0.34,0.061
0.129,0.107,0.14,0.071,0.361,0.113
0.115,0.132,0.151,0.072,0.354,0.146
0.123,0.125,0.147,0.073,0.241,0.12
0.112,0.126,0.138,0.071,0.236,0.091
0.156,0.124,0.143,0.071,0.251,0.073
0.121,0.11,0.146,0.137,0.255,0.075
0.238,0.091,0.134,0.147,0.239,0.071
0.241,0.138,0.157,0.078,0.248,0.069
0.2,0.403,0.195,0.072,0.178,0.062
0.447,0.185,0.201,0.069,0.167,0.271
0.28,0.159,0.184,0.066,0.126,0.211
0.234,0.105,0.39,0.188,0.184,0.241
0.304,0.096,0.818,0.32,0.234,0.402
0.202,0.092,0.478,0.086,0.22,0.404
0.202,0.08,0.476,0.114,0.164,0.35
0.114,0.088,1.087,0.14,0.235,0.257
0.116,0.115,0.596,0.088,0.327,0.441
0.114,0.093,0.666,0.067,0.245,0.44
0.194,0.083,0.367,0.064,0.181,0.539
0.209,0.051,0.335,0.066,0.185,0.346
0.702,0.068,0.373,0.064,0.188,0.43
0.863,0.096,0.297,0.066,0.205,0.225
0.219,0.099,0.29,0.065,0.186,0.313
0.203,0.12,0.302,0.209,0.196,0.249
0.294,0.097,0.505,0.469,0.211,0.308
0.167,0.079,0.294,0.104,0.202,0.176
0.143,0.094,0.301,0.066,0.184,0.215
0.204,0.094,0.367,0.067,0.197,0.388
0.169,0.091,0.294,0.503,0.239,0.306
0.17,0.075,0.451,0.525,0.269,0.531
0.146,0.051,2.002,0.583,0.247,0.484
0.134,0.226,1.08,0.656,0.267,0.661
0.126,0.325,0.739,0.628,0.268,0.505
0.126,0.673,0.367,0.666,0.265,0.471
0.309,0.28,0.35,0.614,0.256,0.527
0.214,0.366,0.365,0.582,0.314,0.407
0.273,0.262,0.529,0.687,0.397,0.446
0.448,0.257,0.36,0.585,0.299,0.442
0.268,0.266,0.366,0.641,0.318,0.473
0.272,0.235,0.373,0.123,0.598,0.309
0.289,0.361,0.364,0.076,0.536,0.316
0.21,0.26,0.326,0.152,0.524,0.343
0.213,0.339,0.328,0.146,0.344,0.315
0.211,0.33,0.317,0.077,0.313,0.26
0.245,0.255,0.136,0.071,0.357,0.081
0.279,0.244,0.146,0.07,0.353,0.048
0.214,0.333,0.164,0.07,0.356,0.085
0.168,0.118,0.131,0.071,0.347,0.07
0.16,0.124,0.141,0.071,0.36,0.044
0.127,0.123,0.158,0.166,0.357,0.081
0.137,0.117,0.155,0.188,0.488,0.051
0.149,0.084,0.138,0.098,0.352,0.058
0.146,0.075,0.157,0.074,0.36,0.074
0.13,0.118,0.142,0.073,0.359,0.047
0.124,0.115,0.129,0.07,0.35,0.067
0.129,0.12,0.176,0.069,0.164,0.069
0.379,0.121,0.177,0.069,0.126,0.043
0.228,0.121,0.18,0.086,0.165,0.241
0.448,0.131,0.205,0.146,0.16,0.19
0.292,0.115,0.178,0.112,0.22,0.259
0.194,0.115,0.549,0.362,0.239,0.414
0.157,0.115,0.383,0.156,0.246,0.456
0.154,0.115,0.661,0.068,0.255,0.407
0.149,0.271,0.44,0.067,0.319,0.461
0.12,0.227,0.342,0.067,0.381,0.319
0.141,0.244,0.77,0.066,0.32,0.327
0.155,0.209,0.325,0.136,0.252,0.288
0.154,0.124,0.341,0.136,0.24,0.447
0.183,0.121,0.313,0.065,0.181,0.278
0.305,0.202,0.3,0.065,0.23,0.332
0.204,0.114,0.301,0.064,0.458,0.352
0.196,0.138,0.305,0.066,0.619,0.258
0.194,0.238,0.483,0.409,0.623,0.208
0.152,0.121,0.348,0.601,0.278,0.193
0.146,0.153,0.32,0.656,0.252,0.344
0.212,0.198,0.325,0.636,0.309,0.24
0.211,0.255,0.407,0.526,0.308,0.402
0.212,0.259,0.435,0.126,0.305,0.425
0.188,0.261,0.598,0.341,0.31,0.394
0.178,0.425,0.387,0.662,0.312,0.315
0.157,0.556,0.354,0.641,0.345,0.453
0.109,0.275,0.361,0.709,0.279,0.489
0.13,0.234,0.368,0.787,0.344,0.465
0.286,0.247,0.392,0.602,0.344,0.643
0.286,0.285,0.406,0.25,0.365,0.549
0.271,0.299,0.344,0.119,0.288,0.578
0.231,0.413,0.375,0.281,0.3,0.408
0.219,0.246,0.472,0.273,0.304,0.291
0.237,0.239,0.341,0.239,0.943,0.284
0.203,0.272,0.355,0.068,0.664,0.392
0.205,0.365,0.336,0.07,0.353,0.402
0.205,0.282,0.341,0.068,0.336,0.38
0.217,0.269,0.17,0.072,0.245,0.301
0.207,0.262,0.157,0.095,0.238,0.252
0.212,0.12,0.153,0.155,0.26,0.083
0.207,0.116,0.241,0.1,0.306,0.085
0.198,0.115,0.184,0.072,0.233,0.105
0.208,0.116,0.174,0.074,0.249,0.072
0.2,0.115,0.148,0.075,0.218,0.092
0.182,0.116,0.167,0.072,0.159,0.101
0.317,0.119,0.14,0.108,0.153,0.076
0.239,0.118,0.151,0.149,0.134,0.087
0.172,0.118,0.16,0.078,0.14,0.104
0.177,0.116,0.163,0.071,0.15,0.067
0.29,0.11,0.209,0.07,0.128,0.096
0.483,0.106,0.178,0.068,0.168,0.285
0.312,0.118,0.194,0.068,0.153,0.125
0.282,0.106,0.212,0.128,0.301,0.209
0.169,0.107,0.506,0.13,0.458,0.505
0.145,0.104,0.389,0.188,0.512,0.371
0.145,0.107,0.404,0.129,0.306,0.451
0.147,0.106,0.866,0.164,0.47,0.326
0.128,0.105,0.691,0.067,0.316,0.293
0.134,0.066,1.003,0.072,0.299,0.266
0.139,0.257,0.381,0.149,0.629,0.381
0.145,0.218,0.307,0.106,1.34,0.244
0.164,0.269,0.308,0.069,0.747,0.259
0.153,0.136,0.304,0.071,0.362,0.479
0.135,0.122,0.311,0.079,0.295,0.27
0.129,0.088,0.437,0.233,0.278,0.447
0.138,0.087,0.375,0.182,0.248,0.23
0.145,0.277,0.243,0.205,0.253,0.201
0.166,0.141,0.25,0.112,0.425,0.219
0.137,0.141,0.213,0.094,0.592,0.243
0.127,0.181,0.245,0.094,0.604,0.355
0.314,0.25,0.426,0.591,0.427,0.232
0.222,0.489,0.579,0.637,0.293,0.198
0.241,0.983,0.545,0.684,0.305,0.207
0.264,0.285,0.358,0.696,0.28,0.443
0.258,0.293,0.391,0.601,0.273,0.416
0.218,0.292,0.375,0.664,0.668,0.438
0.239,0.395,0.418,0.631,0.442,0.41
0.331,0.482,0.367,0.682,0.375,0.391
0.249,0.319,0.352,0.737,0.39,0.498
0.218,0.293,0.393,0.592,0.347,0.341
0.298,0.285,0.445,0.608,0.321,0.343
0.16,0.282,0.372,0.575,0.531,0.437
0.177,0.28,0.354,0.189,0.481,0.222
0.21,0.267,0.248,0.128,0.182,0.363
0.208,0.325,0.182,0.144,0.154,0.368
0.177,0.155,0.143,0.07,0.137,0.202
0.174,0.111,0.179,0.07,0.127,0.101
0.176,0.109,0.166,0.073,0.144,0.065
0.217,0.108,0.142,0.074,0.144,0.076
0.181,0.108,0.176,0.085,0.129,0.061
0.133,0.108,0.168,0.153,0.13,0.048
0.141,0.107,0.161,0.108,0.142,0.073
0.139,0.079,0.161,0.071,0.14,0.053
0.159,0.064,0.139,0.07,0.118,0.051
0.168,0.098,0.185,0.073,0.137,0.121
0.213,0.083,0.136,0.07,0.139,0.093
0.133,0.081,0.168,0.097,0.129,0.1
0.234,0.082,0.199,0.152,0.125,0.116
0.429,0.081,0.195,0.089,0.168,0.305
0.284,0.08,0.471,0.069,0.152,0.204
0.301,0.056,0.325,0.148,0.416,0.197
0.191,0.054,0.505,0.398,0.377,0.34
0.214,0.114,0.429,0.139,0.229,0.348
0.183,0.109,0.417,0.091,0.184,0.271
0.174,1.225,0.453,0.143,0.207,0.265
0.165,1.461,0.449,0.086,0.313,0.499
0.108,0.95,0.312,0.065,0.196,0.422
0.11,0.862,0.433,0.064,0.205,0.328
0.133,0.327,0.339,0.065,0.275,0.262
0.128,0.323,0.35,0.065,1.234,0.311
0.126,0.965,0.361,0.092,0.694,0.374
0.133,0.866,0.368,0.147,0.29,0.249
0.133,1.009,0.458,0.092,0.28,0.275
0.138,0.667,0.327,0.066,0.293,0.291
0.15,0.131,0.32,0.069,0.197,0.32
0.129,0.108,0.325,0.066,0.24,0.295
0.115,0.108,0.27,0.063,0.276,0.371
0.125,0.097,0.343,0.08,0.302,0.341
0.14,0.634,1.063,0.143,0.47,0.589
0.266,0.678,0.561,0.372,0.572,0.912
0.106,0.401,0.849,0.686,0.55,1.189
0.108,0.32,1.37,0.605,0.483,0.551
0.105,0.333,1.417,0.608,0.483,0.533
0.116,1.068,0.863,0.712,0.483,0.614
0.23,1.436,0.406,0.634,0.549,0.441
0.148,0.973,0.403,0.683,0.534,0.485
0.213,0.725,0.437,0.699,0.56,0.291
0.206,0.336,0.446,0.692,0.597,0.338
0.235,0.324,0.355,0.766,0.678,0.295
0.212,0.272,0.377,0.583,0.565,0.29
0.214,0.727,0.366,0.074,0.601,0.334
0.209,0.649,0.282,0.119,0.433,0.318
0.278,0.131,0.16,0.145,0.42,0.313
0.288,0.12,0.151,0.07,0.214,0.077
0.269,0.113,0.182,0.071,0.142,0.101
0.269,0.117,0.137,0.074,0.124,0.113
0.266,0.121,0.179,0.07,0.128,0.129
0.253,0.114,0.151,0.074,0.142,0.107
0.21,0.115,0.152,0.135,0.138,0.065
0.165,0.112,0.174,0.137,0.116,0.077
0.142,0.122,0.155,0.072,0.139,0.07
0.146,0.118,0.182,0.07,0.138,0.052
0.142,0.11,0.156,0.071,0.126,0.061
0.248,0.119,0.171,0.071,0.126,0.076
0.175,0.096,0.318,0.069,0.145,0.053
0.176,0.109,0.173,0.144,0.132,0.056
0.262,0.092,0.207,0.122,0.294,0.077
0.354,0.092,0.396,0.071,0.4,0.05
0.284,0.087,0.43,0.068,0.39,0.059
0.253,0.094,0.322,0.373,0.312,0.103
0.273,0.092,0.343,0.14,0.331,0.21
0.339,0.31,0.376,0.217,0.27,0.207
0.262,0.882,0.331,0.922,0.323,0.726
0.284,0.979,0.341,0.228,0.192,0.52
0.221,0.34,0.386,0.117,0.177,0.369
0.294,0.979,0.91,0.084,0.203,0.189
0.199,0.869,0.597,0.066,0.203,0.245
0.249,1.028,0.781,0.066,0.184,0.314
0.256,0.295,0.319,0.165,0.336,0.267
0.256,0.07,0.317,0.239,0.277,0.141
0.258,0.06,0.402,0.149,0.253,0.776
0.26,0.092,0.327,0.101,0.232,0.374
0.258,0.094,0.312,0.171,0.188,0.266
0.254,0.106,0.332,0.218,0.245,0.303
0.253,0.114,0.309,0.136,0.244,0.358
0.26,0.12,0.567,0.195,0.261,0.403
0.257,0.314,0.896,0.644,0.258,0.387
0.39,0.256,1.353,0.709,0.345,0.258
0.308,0.394,1.666,0.611,0.3,0.308
0.413,0.276,1.258,0.187,0.395,0.587
0.393,0.303,0.838,0.069,0.398,0.442
0.26,0.52,1.385,0.117,0.367,0.584
0.243,0.237,0.422,0.144,0.291,0.376
0.253,0.928,0.386,0.075,0.255,0.434
0.256,0.721,0.358,0.071,0.253,0.329
0.252,0.962,0.402,0.072,0.269,0.27
0.252,0.319,0.358,0.074,0.326,0.286
0.237,0.253,0.356,0.071,0.252,0.263
0.242,0.388,0.303,0.152,0.435,0.256
0.253,0.246,0.184,0.287,0.269,0.126
0.258,0.251,0.177,0.122,0.189,0.057
0.275,0.265,0.145,0.071,0.144,0.073
0.279,0.209,0.151,0.072,0.116,0.08
0.281,0.121,0.181,0.071,0.142,0.049
0.249,0.115,0.155,0.108,0.142,0.064
0.251,0.115,0.194,0.154,0.114,0.079
0.294,0.116,0.15,0.084,0.14,0.047
0.187,0.122,0.148,0.074,0.14,0.065
0.19,0.108,0.168,0.074,0.118,0.079
0.182,0.123,0.135,0.076,0.135,0.098
0.172,0.116,0.157,0.076,0.14,0.138
0.148,0.119,0.166,0.157,0.122,0.106
0.148,0.068,0.149,0.119,0.13,0.095
0.148,0.079,0.2,0.074,0.137,0.121
0.4,0.121,0.184,0.071,0.156,0.088
0.316,0.117,0.182,0.072,0.132,0.11
0.304,0.12,0.38,0.136,0.235,0.121
0.251,0.11,0.434,0.124,0.255,0.084
0.377,0.117,0.336,0.152,0.24,0.142
0.285,0.123,0.752,0.073,0.347,0.336
0.374,0.278,0.992,0.068,0.211,0.237
0.436,0.216,0.701,0.145,0.258,0.274
0.26,0.177,0.53,0.559,0.184,0.745
0.234,0.199,0.463,0.779,0.268,0.387
0.477,0.182,0.459,0.219,0.197,0.221
0.293,0.189,0.377,0.131,0.276,0.239
0.281,0.169,0.529,0.071,0.825,0.274
0.259,0.124,0.537,0.072,0.495,0.322
0.343,0.695,0.635,0.072,0.241,0.31
0.239,0.734,0.964,0.073,0.276,0.242
0.235,0.289,0.916,0.329,0.233,0.199
0.378,0.435,0.833,0.344,0.255,0.622
0.4,0.326,0.727,0.169,0.257,0.253
0.458,0.374,0.822,0.455,0.272,0.238
0.325,0.391,1.315,0.67,0.311,0.36
0.879,1.714,1.865,0.655,0.322,0.535
0.316,0.505,1.881,0.507,0.332,0.437
0.362,1.037,0.487,0.15,0.264,0.437
0.249,0.484,0.411,0.067,0.493,0.569
0.284,0.69,0.41,0.067,0.412,0.442
0.282,1.012,0.365,0.068,0.607,0.452
0.284,0.311,0.39,0.066,0.526,0.562
0.264,0.24,0.346,0.1,0.464,0.398
0.223,0.267,0.374,0.149,0.406,0.316
0.365,0.369,0.374,0.076,0.405,0.342
0.257,0.254,0.493,0.14,0.333,0.25
0.238,0.247,0.899,0.103,0.132,0.292
0.212,0.236,0.726,0.077,0.148,0.313
0.207,0.202,0.385,0.322,0.132,0.199
0.231,0.085,0.158,0.185,0.124,0.052
0.238,0.099,0.151,0.11,0.144,0.08
0.221,0.12,0.188,0.069,0.141,0.068
0.196,0.115,0.179,0.069,0.125,0.043
0.154,0.11,0.136,0.072,0.13,0.078
0.101,0.271,0.174,0.069,0.141,0.069
0.109,0.144,0.148,0.116,0.138,0.041
0.117,0.133,0.16,0.154,0.115,0.076
0.138,0.164,0.156,0.07,0.139,0.067
0.099,0.179,0.149,0.071,0.137,0.042
0.11,0.263,0.164,0.07,0.125,0.075
0.098,0.177,0.149,0.069,0.125,0.064
0.468,0.294,0.189,0.075,0.137,0.148
0.408,0.202,0.194,0.153,0.161,0.245
0.243,0.195,0.376,0.111,0.157,0.195
0.71,0.183,0.743,0.168,0.233,0.22
0.175,0.146,0.382,0.124,0.291,0.934
0.144,0.066,0.315,0.12,0.336,0.976
0.182,0.064,0.411,0.065,0.251,0.309
0.095,0.084,0.787,0.091,0.338,0.4
0.038,0.084,0.471,0.141,0.358,0.218
0.024,0.079,0.296,0.088,1.024,0.34
0.201,0.082,0.268,0.065,1.172,0.334
0.072,0.081,0.28,0.064,0.626,0.237
0.141,0.197,0.786,0.067,0.312,0.275
0.095,0.393,0.266,0.065,0.268,0.643
0.205,0.451,0.323,0.111,0.212,0.707
0.196,0.158,0.36,0.143,0.234,0.295
0.174,0.163,0.361,0.363,0.206,0.352
0.102,0.15,0.361,0.571,0.271,0.257
0.142,0.609,0.492,0.696,0.45,0.206
0.161,0.821,0.459,0.197,0.279,0.295
0.056,0.843,0.533,0.069,0.27,0.268
0.086,1.016,0.325,0.391,0.312,0.251
0.078,0.568,0.355,0.66,0.287,0.221
0.081,0.197,0.726,0.696,0.301,0.228
0.132,0.225,0.451,0.664,0.35,0.363
0.095,0.317,0.413,0.627,0.611,0.533
0.066,0.322,0.418,0.577,0.525,0.897
0.139,0.278,0.357,0.61,0.477,0.557
0.241,0.357,0.389,0.677,0.537,0.632
0.208,0.267,0.337,0.616,0.4,0.478
0.13,0.28,0.326,0.314,0.364,0.408
0.178,0.394,0.456,0.299,0.368,0.252
0.127,0.362,0.354,0.204,0.346,0.361
0.278,0.26,0.29,0.155,0.286,0.357
0.137,0.273,0.356,0.158,0.186,0.238
0.165,0.366,0.161,0.115,0.136,0.065
0.075,0.216,0.168,0.071,0.134,0.062
0.083,0.139,0.153,0.071,0.12,0.062
0.085,0.125,0.141,0.071,0.131,0.06
0.065,0.122,0.166,0.072,0.135,0.059
0.058,0.114,0.144,0.099,0.136,0.061
0.061,0.122,0.135,0.154,0.124,0.064
0.09,0.112,0.173,0.096,0.126,0.06
0.07,0.121,0.137,0.072,0.136,0.062
0.06,0.12,0.151,0.073,0.134,0.058
0.057,0.112,0.161,0.07,0.123,0.06
0.153,0.124,0.136,0.071,0.122,0.059
0.325,0.092,0.177,0.077,0.134,0.091
0.155,0.052,0.185,0.153,0.134,0.106
0.321,0.086,0.176,0.115,0.143,0.254
0.199,0.093,0.215,0.068,0.159,0.239
0.384,0.252,0.251,0.195,0.227,0.251
0.143,0.136,0.502,0.271,0.312,0.411
0.124,0.092,0.4,0.135,0.213,0.543
0.116,0.099,0.348,0.065,0.35,0.284
0.123,0.32,0.426,0.132,0.23,0.32
0.097,0.321,0.314,0.133,0.193,0.27
0.064,0.132,0.491,0.066,0.243,0.276
0.062,0.181,0.292,0.066,0.201,0.299
0.1,0.791,0.245,0.065,0.183,0.244
0.135,0.239,0.243,0.066,0.25,0.217
0.162,0.222,0.255,0.067,0.328,0.29
0.098,0.285,0.222,0.099,0.353,0.259
0.154,0.261,0.24,0.145,0.319,0.223
0.165,0.738,0.402,0.436,0.205,0.208
0.17,1.771,0.361,0.58,0.227,0.37
0.166,0.943,0.341,0.643,0.196,0.19
0.17,0.948,0.331,0.572,0.259,0.253
0.148,0.416,0.425,0.298,0.544,0.314
0.138,0.283,0.425,0.156,0.456,0.279
0.131,0.95,1.373,0.342,0.453,0.343
0.145,1.135,0.951,0.226,0.516,0.557
0.199,0.882,0.452,0.155,0.463,0.439
0.244,0.796,0.407,0.155,0.689,0.421
0.186,0.419,0.439,0.531,0.65,0.637
0.343,0.265,1.096,0.589,0.691,0.449
0.234,0.261,0.783,0.728,0.582,0.584
0.254,0.264,0.866,0.668,0.644,0.497
0.238,0.256,0.378,0.673,0.658,0.443
0.238,0.26,0.362,0.668,0.464,0.445
0.233,0.396,0.479,0.264,0.263,0.43
0.272,0.219,0.351,0.07,0.235,0.353
0.4,0.274,0.321,0.071,0.173,0.412
0.283,0.317,0.145,0.115,0.15,0.272
0.212,0.177,0.159,0.147,0.143,0.097
0.207,0.124,0.277,0.132,0.125,0.068
0.179,0.122,0.319,0.106,0.13,0.054
0.175,0.275,0.26,0.074,0.141,0.06
0.181,0.19,0.425,0.074,0.139,0.078
0.148,0.186,0.246,0.073,0.124,0.055
0.137,0.193,0.174,0.108,0.128,0.055
