,iteration_1,iteration_2,iteration_3
batch_308,-0.3125,-0.15625,-0.265625
batch_309,-0.234375,-0.25,-0.1171875
batch_310,-0.21875,-0.2265625,-0.265625
batch_311,-0.265625,-0.3671875,-0.1796875
batch_312,-0.296875,-0.15625,-0.3046875
batch_313,-0.3671875,-0.3828125,-0.265625
batch_314,-0.2734375,-0.28125,-0.21875
batch_315,-0.234375,-0.21875,-0.171875
batch_316,-0.15625,-0.28125,-0.234375
batch_317,-0.296875,-0.203125,-0.1953125
batch_318,-0.203125,-0.2265625,-0.1328125
batch_319,-0.125,-0.09375,-0.140625
batch_320,-0.140625,-0.1328125,-0.1875
batch_321,-0.3359375,-0.2734375,-0.265625
batch_322,-0.15625,-0.078125,-0.03125
batch_323,-0.0703125,-0.109375,-0.234375
batch_324,-0.1328125,-0.0859375,-0.234375
batch_325,-0.140625,-0.2265625,-0.15625
batch_326,0.015625,-0.15625,-0.09375
batch_327,-0.203125,-0.203125,-0.0625
batch_328,-0.0859375,-0.109375,-0.0390625
batch_329,-0.1875,-0.0625,-0.203125
batch_330,-0.1171875,-0.234375,-0.265625
batch_331,-0.1015625,-0.265625,-0.140625
batch_332,-0.21875,-0.0703125,-0.203125
batch_333,-0.0546875,-0.28125,-0.1171875
batch_334,-0.125,-0.21875,-0.046875
batch_335,-0.1328125,-0.203125,-0.2421875
batch_336,-0.2734375,-0.1484375,-0.046875
batch_337,-0.1875,-0.203125,-0.1875
batch_338,-0.0625,-0.015625,-0.1015625
batch_339,-0.203125,-0.0625,-0.1015625
batch_340,-0.25,-0.1640625,-0.21875
batch_341,-0.078125,-0.03125,-0.1484375
batch_342,-0.0859375,-0.03125,-0.078125
batch_343,0.0,-0.109375,-0.0390625
batch_344,-0.1796875,-0.1484375,-0.171875
batch_345,-0.0859375,-0.125,0.015625
batch_346,-0.109375,-0.1953125,0.0
batch_347,-0.0703125,-0.140625,-0.1328125
batch_348,-0.1015625,-0.0703125,-0.0703125
batch_349,-0.1484375,0.0625,-0.15625
batch_350,-0.109375,-0.0078125,-0.109375
batch_351,-0.0546875,-0.125,-0.1328125
batch_352,-0.046875,-0.078125,-0.0546875
batch_353,-0.0546875,-0.0703125,-0.0859375
batch_354,-0.109375,-0.0234375,-0.1484375
batch_355,-0.078125,-0.0390625,-0.125
batch_356,-0.0546875,0.0,-0.046875
batch_357,-0.109375,0.03125,-0.0546875
batch_358,0.0546875,-0.0625,-0.046875
batch_359,-0.0546875,-0.0625,-0.0390625
batch_360,-0.03125,-0.1875,-0.1328125
batch_361,-0.0859375,-0.03125,-0.015625
batch_362,-0.1015625,-0.0546875,-0.0859375
batch_363,-0.171875,-0.0546875,-0.1171875
batch_364,-0.125,0.0,0.0
batch_365,-0.2265625,-0.0625,-0.03125
batch_366,-0.1953125,-0.0703125,-0.109375
batch_367,-0.171875,-0.21875,-0.25
batch_368,-0.203125,-0.140625,-0.0859375
batch_369,-0.1875,-0.09375,-0.046875
batch_370,-0.1015625,-0.078125,-0.0390625
batch_371,-0.09375,-0.3359375,-0.234375
batch_372,-0.2265625,-0.265625,-0.171875
batch_373,-0.2890625,-0.140625,-0.3984375
batch_374,-0.21875,-0.2734375,-0.3203125
batch_375,-0.2890625,-0.21875,-0.1796875
batch_376,-0.1875,-0.1171875,-0.09375
batch_377,-0.09375,-0.03125,-0.109375
batch_378,-0.03125,-0.1171875,-0.0625
batch_379,-0.03125,0.015625,-0.0703125
batch_380,-0.1640625,-0.1328125,-0.1015625
batch_381,-0.1796875,-0.2109375,-0.1796875
batch_382,-0.0625,-0.21875,-0.2265625
batch_383,-0.25,-0.2109375,-0.09375
batch_384,-0.3046875,-0.09375,-0.125
batch_385,-0.078125,-0.1640625,-0.1640625
batch_386,-0.0625,-0.1015625,-0.15625
batch_387,-0.34375,-0.2109375,-0.1015625
batch_388,-0.2734375,-0.1328125,-0.0859375
batch_389,-0.0703125,-0.28125,-0.15625
batch_390,-0.1953125,-0.078125,-0.21875
batch_391,-0.0625,-0.0859375,0.0390625
batch_392,-0.0859375,-0.0703125,-0.140625
batch_393,-0.125,-0.1796875,-0.0703125
batch_394,0.0625,-0.0234375,-0.1796875
batch_395,-0.1015625,-0.1875,0.0078125
batch_396,-0.0234375,-0.1875,-0.015625
batch_397,-0.15625,-0.2421875,-0.203125
batch_398,-0.203125,-0.140625,0.0
batch_399,-0.1171875,-0.0625,-0.140625
batch_400,-0.125,-0.15625,-0.0859375
batch_401,-0.0625,-0.0546875,-0.140625
batch_402,-0.1171875,-0.0625,-0.140625
batch_403,-0.125,-0.03125,-0.1171875
batch_404,-0.171875,0.03125,-0.078125
batch_405,-0.203125,-0.1640625,-0.1640625
batch_406,-0.125,-0.1875,-0.21875
batch_407,-0.109375,-0.078125,-0.0859375
batch_408,-0.046875,-0.09375,-0.15625
batch_409,-0.0625,-0.234375,-0.296875
batch_410,-0.0546875,-0.21875,-0.1328125
batch_411,-0.265625,-0.015625,-0.1015625
batch_412,-0.2578125,-0.296875,-0.125
batch_413,-0.1953125,-0.0546875,-0.171875
batch_414,-0.1015625,-0.265625,-0.328125
batch_415,-0.1875,-0.171875,-0.125
batch_416,0.0,-0.0625,-0.109375
batch_417,-0.1640625,-0.21875,-0.265625
batch_418,-0.1875,-0.140625,-0.453125
batch_419,-0.21875,-0.203125,-0.1640625
batch_420,0.015625,-0.0625,-0.15625
batch_421,-0.1875,-0.390625,-0.046875
batch_422,0.03125,-0.109375,-0.1015625
batch_423,0.015625,-0.0703125,-0.1484375
batch_424,-0.078125,-0.125,-0.09375
